airport_id,name,city,country,iata,icao,latitude,longitude,altitude
1087,Kédougou Airport,Kedougou,Senegal,KGG,GOTK,12.57229996,-12.22029972,584
1088,Tambacounda Airport,Tambacounda,Senegal,TUD,GOTT,13.73680019,-13.65310001,161
1089,Aioun el Atrouss Airport,Aioun El Atrouss,Mauritania,AEO,GQNA,16.7112999,-9.637880325,951
1090,Tidjikja Airport,Tidjikja,Mauritania,TIY,GQND,18.57010078,-11.42350006,1363
1091,Kiffa Airport,Kiffa,Mauritania,KFA,GQNF,16.59000015,-11.40620041,424
1092,Néma Airport,Nema,Mauritania,EMN,GQNI,16.62199974,-7.316599846,751
1093,Kaédi Airport,Kaedi,Mauritania,KED,GQNK,16.15950012,-13.50759983,66
1094,Nouakchott–Oumtounsy International Airport,Nouakschott,Mauritania,NKC,GQNO,18.31,-15.969722199999998,9
1095,Sélibaby Airport,Selibabi,Mauritania,SEY,GQNS,15.179699900000001,-12.20730019,219
1096,Atar International Airport,Atar,Mauritania,ATR,GQPA,20.506799700000002,-13.04319954,734
1097,Nouadhibou International Airport,Nouadhibou,Mauritania,NDB,GQPP,20.93309975,-17.03000069,24
1098,Bir Moghrein Airport,Bir Moghrein,Mauritania,,GQPT,25.23670006,-11.58870029,1206
1099,Fria Airport,Fira,Guinea,FIG,GUFA,10.35060024,-13.56919956,499
1100,Faranah Airport,Faranah,Guinea,FAA,GUFH,10.03549957,-10.76980019,1476
1101,Tata Airport,Labe,Guinea,LEK,GULB,11.32610035,-12.28680038,3396
1102,Amílcar Cabral International Airport,Amilcar Cabral,Cape Verde,SID,GVAC,16.7414,-22.9494,177
1103,Rabil Airport,Boa Vista,Cape Verde,BVC,GVBA,16.1364994,-22.88890076,69
1104,Maio Airport,Maio,Cape Verde,MMO,GVMA,15.1559,-23.21369934,36
1105,Preguiça Airport,Sao Nocolau Island,Cape Verde,SNE,GVSN,16.58839989,-24.28470039,669
1106,São Pedro Airport,Sao Vicente Island,Cape Verde,VXE,GVSV,16.83320045,-25.05529976,66
1107,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,ADD,HAAB,8.977890015,38.79930115,7630
1108,Lideta Army Airport,Addis Ababa,Ethiopia,,HAAL,9.003685,38.725497999999995,7749
1109,Arba Minch Airport,Arba Minch,Ethiopia,AMH,HAAM,6.039390087,37.59049988,3901
1110,Axum Airport,Axum,Ethiopia,AXU,HAAX,14.14680004,38.77280045,6959
1111,Bahir Dar Airport,Bahar Dar,Ethiopia,BJR,HABD,11.60809994,37.32160187,5978
1112,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,Ethiopia,DIR,HADR,9.624699592999999,41.85419846,3827
1113,Gambella Airport,Gambella,Ethiopia,GMB,HAGM,8.128760338,34.56309891,1614
1114,Gonder Airport,Gondar,Ethiopia,GDQ,HAGN,12.51990032,37.43399811,6449
1116,Jimma Airport,Jimma,Ethiopia,JIM,HAJM,7.666090012000001,36.816600799999996,5500
1117,Lalibella Airport,Lalibella,Ethiopia,LLI,HALL,11.97500038,38.97999954,6506
